Name,Slug,Short Description,Tagline / Description,Long Description (About),Official Website URL,Logo URL,Primary Category,Category Slug,Primary Task(s),Key Features,Use Cases,Integrations,Supported Platforms,Pricing Model,Pricing Raw,Has API,API Docs URL,Is Open Source,GitHub Repository,Provider / Company,Provider Website,Release Date,Pros,Cons
Aider,aider,AI agent for ai agent,AI agent for ai agent,"Aider is a Open Source AI agent that a command line tool that lets you pair your program with GPT-3.5/GPT-4, to edit code stored in your local git...",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent; Code Generation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/paul-gauthier/aider,,,,,
Aiagentsurf,aiagentsurf,AI agent for ai agent,AI agent for ai agent,aiagent.surf is a General Assistant AI agent that an AI-driven virtual assistant designed for productivity enhancement (Freemium).,https://aiagent.surf,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Ailaflow,ailaflow,AI agent for ai agent,AI agent for ai agent,AilaFlow is a Task Automation AI agent that no-code platform for building AI agents (Free).,https://ailaflow.com,,AI Agent,ai-agent,AI Agent; Code Generation; Task Automation,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Ai Sommelier,ai-sommelier,AI agent for ai agent,AI agent for ai agent,"AI Sommelier is a Customer Support AI agent that AI Sommelier for wine, spirits & beer retailers, offering 24/7 product recommendations based on live...",https://pinpointed.dev,,AI Agent,ai-agent,AI Agent; Customer Support,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Ai Project Manager,ai-project-manager,AI agent for ai agent,AI agent for ai agent,AI Project Manager is a Task Automation AI agent that automatically assign tickets to AI agents and implement solutions with full traceability.,https://factory.ai/product/ai-project-manager,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Aiohm,aiohm,AI agent for ai agent,AI agent for ai agent,AIOHM is a Marketing AI agent that AIOHM turns WordPress into an AI-powered Brand Voice Hub with dual-mode assistants (Freemium).,https://www.aiohm.app,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Ailice,ailice,AI agent for ai agent,AI agent for ai agent,"AIlice is a General Assistant AI agent that AIlice is a fully autonomous, general-purpose AI agent.",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/myshell-ai/AIlice,,,,,
Airia,airia,AI agent for ai agent,AI agent for ai agent,Airia is a AI Agent Framework AI agent that airia provides an AI orchestration platform focused on security and agent building (Free).,https://airia.com/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Airplane Autopilot,airplane-autopilot,AI agent for ai agent,AI agent for ai agent,"Airplane Autopilot is an AI agent that airplane is a company for building internal tools, they're building their autopilot AI assistant.",https://www.airplane.dev/autopilot/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Air,air,AI agent for ai agent,AI agent for ai agent,Air is a Digital Workers & Voice Agents AI agent that 100k sales and customer service reps at the touch of a button.,https://www.air.ai/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Aisera,aisera,AI agent for ai agent,AI agent for ai agent,Aisera is a Business Automation AI agent that AI Agents and Assistants purpose-built to deliver business value for every team.,https://aisera.com/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Alkali,alkali,AI agent for ai agent,AI agent for ai agent,Alkali is a Digital Workers AI agent that a smarter PDF viewer for construction (Free).,https://alkali.engineering/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Airkitai,airkitai,AI agent for ai agent,AI agent for ai agent,"Airkit.ai is a Customer Support AI agent that airkit is a developer-first platform for building, testing, and deploying AI Agents.",https://www.airkit.ai,,AI Agent,ai-agent,AI Agent; Code Generation; Customer Support,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Airops,airops,AI agent for ai agent,AI agent for ai agent,"AirOps is a Marketing AI agent that airOps enhances content strategy, creation, and performance through AI-powered insights (Freemium).",https://www.airops.com/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Airweb,airweb,AI agent for ai agent,AI agent for ai agent,Airweb is a General Assistant & Voice Agents AI agent that boost Productivity & Cut Costs with AI Agents (Free).,https://airweb.ai/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Altrina,altrina,AI agent for ai agent,AI agent for ai agent,Altrina is a Task Automation AI agent that altrina is an SOP automation platform designed to streamline workflows and reduce busywork.,https://altrina.com,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Askpandi,askpandi,AI agent for ai agent,AI agent for ai agent,AskPandi is a General Assistant & Research Labs AI agent that AI Agent that searches and creates content for you (Paid).,https://askpandi.com/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,PAID,Contact for pricing,FALSE,,FALSE,,,,,,
Analista De Requisitos,analista-de-requisitos,AI agent for ai agent,AI agent for ai agent,"Analista de requisitos is a Business Automation AI agent that transformação Digital com soluções em Cloud, IA e automação.",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Ambience Healthcare,ambience-healthcare,AI agent for ai agent,AI agent for ai agent,Ambience Healthcare is a Digital Workers AI agent that AI platform for real-time clinical documentation and coding in healthcare.,https://www.ambiencehealthcare.com,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Applied Materials Smartfactory,applied-materials-smartfactory,AI agent for ai agent,AI agent for ai agent,Applied Materials SmartFactory is a AI Agent Framework AI agent that smartFactory Genie is an advanced AI assistant designed for enhancing productivity in...,https://appliedsmartfactory.com/ai/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Assistant Ui,assistant-ui,AI agent for ai agent,AI agent for ai agent,assistant-ui is a AI Agent Framework AI agent that open-source React toolkit for production AI chat experiences (Free).,https://assistant-ui.com/,,AI Agent,ai-agent,AI Agent; Customer Support,,,,Web Browser,FREE,Free plan available,FALSE,,TRUE,,,,,,
Artisan,artisan,AI agent for ai agent,AI agent for ai agent,Artisan is a Digital Workers & Business Automation AI agent that we create advanced digital workers.,https://artisan.co/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
April,april,AI agent for ai agent,AI agent for ai agent,"April is a General Assistant AI agent that april is your AI voice executive assistant for managing emails and calendars hands-free, designed for busy...",https://tryapril.com/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Anthropic Claude Computer Use,anthropic-claude-computer-use,AI agent for ai agent,AI agent for ai agent,"Anthropic Claude (Computer Use) is a AI Agent Framework AI agent that build AI agents that plan, act, and collaborate effectively.",https://www.anthropic.com/solutions/agents,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Aomni,aomni,AI agent for ai agent,AI agent for ai agent,Aomni is a Business Automation AI agent that an AI agent specifically designed for business intelligence (Freemium).,https://www.aomni.com/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Aside,aside,AI agent for ai agent,AI agent for ai agent,"Aside is a Business Automation AI agent that aside provides real-time answers to technical questions during calls, improving team performance and engagement.",https://asidehq.com/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Artisian Ai,artisian-ai,AI agent for ai agent,AI agent for ai agent,"Artisian AI is a AI Agent Framework AI agent that human-like digital workers with different purposes, e.g., sales, e-mails, and book keeping.",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/Artisan-AI,,,,,
Anthropic,anthropic,AI agent for ai agent,AI agent for ai agent,"Anthropic is a AI Agent Framework AI agent that claude Opus 4.5 is an AI model focused on coding, agents, and enterprise workflows.",https://www.anthropic.com/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Antier Ai Agent,antier-ai-agent,AI agent for ai agent,AI agent for ai agent,Antier AI Agent is a AI Agency AI agent that custom AI agent development services integrating advanced large language models and Web3 capabilities.,https://www.antiersolutions.com/ai-agent-development-company/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Automaited,automaited,AI agent for ai agent,AI agent for ai agent,Automaited is a Digital Workers & Task Automation AI agent that hyperautomates repetitive tasks with the help of AI.,https://www.automaited.com/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Autolaunched,autolaunched,AI agent for ai agent,AI agent for ai agent,AutoLaunched is a Task Automation AI agent that automated directory submission service for startups (Freemium).,https://autolaunched.com/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Augment,augment,AI agent for ai agent,AI agent for ai agent,"Augment is a Digital Workers AI agent that augie is an AI teammate designed to enhance logistics operations, helping teams focus on service and efficiency.",https://www.goaugment.com/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Augmental,augmental,AI agent for ai agent,AI agent for ai agent,Augmental is a Hardware + Software AI agent that world's first available hands-free touchpad.,https://www.augmental.tech/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Auto Gpt,auto-gpt,AI agent for ai agent,AI agent for ai agent,Auto-GPT is a Business Automation AI agent that autoGPT empowers users to create custom AI assistants for enhanced productivity.,https://news.agpt.co/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Ataraxis,ataraxis,AI agent for ai agent,AI agent for ai agent,Ataraxis is a Healthcare AI agent that ataraxis is an AI platform designed for precision medicine in cancer care.,https://www.ataraxis.ai,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Autogen,autogen,AI agent for ai agent,AI agent for ai agent,AutoGen is a Open Source AI agent that a framework that enables the development of LLM applications using multiple agents that can converse with each other...,https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/microsoft/autogen,,,,,
Autogpt,autogpt,AI agent for ai agent,AI agent for ai agent,"AutoGPT is a Open Source & AI Agent Framework AI agent that an experimental open-source attempt to make GPT-4 fully autonomous, with >140k stars on GitHub.",https://agpt.co/,,AI Agent,ai-agent,AI Agent,,,GitHub,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,,,,,,
Automata,automata,AI agent for ai agent,AI agent for ai agent,Automata is a Open Source AI agent that crafting a sophisticated system that autonomously generates its own code based on the context of your project.,https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent; Code Generation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/emrgnt-cmplxty/automata,,,,,
Automation Anywhere,automation-anywhere,AI agent for ai agent,AI agent for ai agent,Automation Anywhere is a Business Automation AI agent that agentic Process Automation (APA) platform to automate tasks and improve efficiency (Free).,https://www.automationanywhere.com/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Autonomous Hr Chatbot,autonomous-hr-chatbot,AI agent for ai agent,AI agent for ai agent,Autonomous HR Chatbot is a Digital Workers & Open Source AI agent that a prototype enterprise application - an Autonomous HR Assistant powered by GPT-3.5.,https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent; Customer Support,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/stepanogil/autonomous-hr-chatbot,,,,,
Babybeeagi,babybeeagi,AI agent for ai agent,AI agent for ai agent,BabyBeeAGI is a Open Source & Task Automation AI agent that a task management and functionality expansion on top of BabyAGI.,https://yoheinakajima.com/babybeeagi-task-management-and-functionality-expansion-on-top-of-babyagi/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,,,,,,
Babyagi,babyagi,AI agent for ai agent,AI agent for ai agent,BabyAGI is a Open Source AI agent that a simple framework for managing tasks using AI.,https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/yoheinakajima/babyagi,,,,,
Autopr,autopr,AI agent for ai agent,AI agent for ai agent,"AutoPR is a Developer Tools & Open Source AI agent that AI-generated pull requests to fix issues, powered by ChatGPT.",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent; Code Generation; Customer Support,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/irgolic/AutoPR,,,,,
Azure Ai Foundry,azure-ai-foundry,AI agent for ai agent,AI agent for ai agent,Azure AI Foundry is a AI Agent Framework AI agent that AI app and agent factory enabling businesses to build and optimize AI solutions.,https://ai.azure.com/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Autoqa,autoqa,AI agent for ai agent,AI agent for ai agent,AutoQA is a Digital Workers AI agent that AI-powered software testing platform that automates quality assurance (Freemium).,https://auto-qa.io,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Avoca,avoca,AI agent for ai agent,AI agent for ai agent,Avoca is a Digital Workers AI agent that avoca is an AI-powered communication platform designed to enhance customer service for service businesses.,https://www.avoca.ai,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Babycommandagi,babycommandagi,AI agent for ai agent,AI agent for ai agent,"BabyCommandAGI is a Open Source AI agent that an AI agent designed to test what happens when you combine CLI and LLM, which are more traditional interfaces...",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/saten-private/BabyCommandAGI,,,,,
Autotab,autotab,AI agent for ai agent,AI agent for ai agent,Autotab is a Task Automation AI agent that build browser agents for real-world tasks.,https://www.autotab.com/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Babycatagi,babycatagi,AI agent for ai agent,AI agent for ai agent,"BabyCatAGI is a Open Source & AI Agent Framework AI agent that babyCatAGI is a mod of BabyBeeAGI, which is a mod of OG BabyAGI.",https://replit.com/@YoheiNakajima/BabyCatAGI,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,,,,,,
Babydeeragi,babydeeragi,AI agent for ai agent,AI agent for ai agent,"BabyDeerAGI is a Open Source AI agent that babyDeerAGI is a mod of BabyAGI, at ~350 lines of code.",https://twitter.com/yoheinakajima/status/1666313838868992001,,AI Agent,ai-agent,AI Agent; Code Generation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,,,,,,
Babyelfagi,babyelfagi,AI agent for ai agent,AI agent for ai agent,"BabyElfAGI is a Open Source AI agent that newest mod of BabyDeerAGI, and the OG BabyAGI, at ~895 lines of code.",https://twitter.com/yoheinakajima/status/1678443482866933760,,AI Agent,ai-agent,AI Agent; Code Generation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,,,,,,
