Name,Slug,Short Description,Tagline / Description,Long Description (About),Official Website URL,Logo URL,Primary Category,Category Slug,Primary Task(s),Key Features,Use Cases,Integrations,Supported Platforms,Pricing Model,Pricing Raw,Has API,API Docs URL,Is Open Source,GitHub Repository,Provider / Company,Provider Website,Release Date,Pros,Cons
Agent Workflow Automation Guide | ClawSites,agent-workflow-automation,"Compare agent workflow automation tools by triggers, approvals,","Compare agent workflow automation tools by triggers, approvals, integrations, logs, reliability, and business workflow fit.","Compare agent workflow automation tools by triggers, approvals, integrations, logs, reliability, and business workflow fit.",https://www.clawsites.com/agent-workflow-automation,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / Agent Workflow Automation
• Automate lead research and enrichment with review.
• Route support tickets into draft responses.
• Create QA summaries from failed test events.
• Extract web data and update an internal queue.","
• Automate lead research and enrichment with review.
• Route support tickets into draft responses.
• Create QA summaries from failed test events.
• Extract web data and update an internal queue.
• Generate weekly operations reports from connected tools.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Memory: Context & RAG | ClawSites,ai-agent-memory,"Learn how AI agent memory works, compare context,","Learn how AI agent memory works, compare context, RAG, graphs, and stateful runtimes, and find memory tools for agents.","Learn how AI agent memory works, compare context, RAG, graphs, and stateful runtimes, and find memory tools for agents.",https://www.clawsites.com/ai-agent-memory,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent Memory
• Keep project context across long coding or research workflows.
• Personalize an assistant with approved preferences and repeated instructions.
• Store task history so agents avoid repeating the same discovery work.
• Use graph memory to connect people, projects, documents, and decisions.","
• Keep project context across long coding or research workflows.
• Personalize an assistant with approved preferences and repeated instructions.
• Store task history so agents avoid repeating the same discovery work.
• Use graph memory to connect people, projects, documents, and decisions.
• Improve support agents with customer-specific context and clear consent.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Directory Methodology | ClawSites,ai-agent-directory-methodology,How ClawSites verifies AI agent listings with official,"How ClawSites verifies AI agent listings with official sources, claim-level evidence, freshness checks, and human editorial approval.","How ClawSites verifies AI agent listings with official sources, claim-level evidence, freshness checks, and human editorial approval.",https://www.clawsites.com/ai-agent-directory-methodology,https://www.clawsites.com/opengraph-image,/,,/,"
• AI Agent Directory Methodology
• Confirm the public source loads and describes the same product or project.
• Keep competitor directories as discovery leads only; never use their copy, scores, or categories as verification evidence.
• Require a literal official-source excerpt for each published description, feature, workflow, and decision fact.
• Identify the primary workflow the listing belongs to.",,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Frameworks | ClawSites,ai-agent-frameworks,"Compare AI agent frameworks for workflows, tools, memory,","Compare AI agent frameworks for workflows, tools, memory, multi-agent systems, browser control, voice, and production monitoring.","Compare AI agent frameworks for workflows, tools, memory, multi-agent systems, browser control, voice, and production monitoring.",https://www.clawsites.com/ai-agent-frameworks,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent Frameworks
• Build custom internal agents with specific tool access.
• Create multi-agent workflows that need explicit coordination.
• Prototype RAG, memory, or graph-based agent behavior.
• Ship voice, browser, or coding agents with framework-level control.","
• Build custom internal agents with specific tool access.
• Create multi-agent workflows that need explicit coordination.
• Prototype RAG, memory, or graph-based agent behavior.
• Ship voice, browser, or coding agents with framework-level control.
• Standardize agent development across a technical team.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Sandboxes Guide | ClawSites,ai-agent-sandboxes,"Compare cloud sandboxes, browser runtimes, local workspaces, testing,","Compare cloud sandboxes, browser runtimes, local workspaces, testing, logs, and safety controls for AI agents that execute code or browse.","Compare cloud sandboxes, browser runtimes, local workspaces, testing, logs, and safety controls for AI agents that execute code or browse.",https://www.clawsites.com/ai-agent-sandboxes,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent Sandboxes
• Run code generated by an agent without giving it production access.
• Test browser workflows in controlled cloud sessions.
• Create disposable environments for coding agents and CI workflows.
• Capture artifacts from failed agent runs for debugging.","
• Run code generated by an agent without giving it production access.
• Test browser workflows in controlled cloud sessions.
• Create disposable environments for coding agents and CI workflows.
• Capture artifacts from failed agent runs for debugging.
• Validate generated code before deployment or merge.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Security Tools | ClawSites,ai-agent-security-tools,"Compare AI agent security tools for permissions, browser","Compare AI agent security tools for permissions, browser safety, prompt injection, logs, approvals, sandboxes, and audits.","Compare AI agent security tools for permissions, browser safety, prompt injection, logs, approvals, sandboxes, and audits.",https://www.clawsites.com/ai-agent-security-tools,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent Security
• Secure MCP tool access for an agent client.
• Protect browser agents from malicious page instructions.
• Review secrets before enabling integrations.
• Add approvals for sends, spends, deploys, and account changes.","
• Secure MCP tool access for an agent client.
• Protect browser agents from malicious page instructions.
• Review secrets before enabling integrations.
• Add approvals for sends, spends, deploys, and account changes.
• Monitor agent runs and investigate failures.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Automation Guide | ClawSites,ai-agent-automation,"Learn how AI agent automation works, when to","Learn how AI agent automation works, when to use it, what risks to control, and which OpenClaw tools fit workflow, coding, and ops use cases.","Learn how AI agent automation works, when to use it, what risks to control, and which OpenClaw tools fit workflow, coding, and ops use cases.",https://www.clawsites.com/ai-agent-automation,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent Automation
• Draft customer replies, sales follow-ups, or internal status updates.
• Collect research from websites, documents, and internal tools.
• Create tickets, summaries, or structured records from messy inputs.
• Automate QA checks, repo maintenance, or release preparation.","
• Draft customer replies, sales follow-ups, or internal status updates.
• Collect research from websites, documents, and internal tools.
• Create tickets, summaries, or structured records from messy inputs.
• Automate QA checks, repo maintenance, or release preparation.
• Coordinate multi-step agency deliverables with human review.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Human-in-the-Loop Guide | ClawSites,ai-agent-human-in-the-loop,"Design AI agent human-in-the-loop workflows for approvals, escalation,","Design AI agent human-in-the-loop workflows for approvals, escalation, audit trails, safe actions, and production agent reliability.","Design AI agent human-in-the-loop workflows for approvals, escalation, audit trails, safe actions, and production agent reliability.",https://www.clawsites.com/ai-agent-human-in-the-loop,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent Human-in-the-Loop
• Approve customer-support replies before sending.
• Review CRM updates from sales agents.
• Gate browser agents before form submission.
• Approve test fixes before merging code.","
• Approve customer-support replies before sending.
• Review CRM updates from sales agents.
• Gate browser agents before form submission.
• Approve test fixes before merging code.
• Escalate low-confidence data extraction.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Marketplaces and Directories | ClawSites,ai-agent-marketplaces,"Find AI agent marketplaces, directories, MCP registries, skill","Find AI agent marketplaces, directories, MCP registries, skill catalogs, and discovery hubs for agent tools and services.","Find AI agent marketplaces, directories, MCP registries, skill catalogs, and discovery hubs for agent tools and services.",https://www.clawsites.com/ai-agent-marketplaces,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent Marketplaces
• Find directories to submit an AI agent, MCP server, or tool.
• Compare marketplaces by audience and listing quality.
• Discover agent-built services or agent-specific communities.
• Build a go-to-market plan for an agent product.","
• Find directories to submit an AI agent, MCP server, or tool.
• Compare marketplaces by audience and listing quality.
• Discover agent-built services or agent-specific communities.
• Build a go-to-market plan for an agent product.
• Route ClawSites users into specific protocol or tool registries.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Builders: Frameworks and Platforms | ClawSites,ai-agent-builders,"Compare AI agent builders, frameworks, SDKs, MCP tools,","Compare AI agent builders, frameworks, SDKs, MCP tools, memory layers, and platforms for shipping reliable agent workflows.","Compare AI agent builders, frameworks, SDKs, MCP tools, memory layers, and platforms for shipping reliable agent workflows.",https://www.clawsites.com/ai-agent-builders,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent Builders
• Build a custom support, research, coding, or operations agent.
• Prototype a workflow in a no-code builder before moving to code.
• Create an agency service backed by repeatable agent workflows.
• Connect MCP servers and internal APIs to a custom assistant.","
• Build a custom support, research, coding, or operations agent.
• Prototype a workflow in a no-code builder before moving to code.
• Create an agency service backed by repeatable agent workflows.
• Connect MCP servers and internal APIs to a custom assistant.
• Build voice or browser agents with specialized frameworks.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agent-to-Agent Protocol Guide | ClawSites,agent-to-agent-protocol,"Understand agent-to-agent protocols, MCP, A2A, ANP, x402, discovery,","Understand agent-to-agent protocols, MCP, A2A, ANP, x402, discovery, identity, permissions, and how ClawSites tools fit multi-agent networks.","Understand agent-to-agent protocols, MCP, A2A, ANP, x402, discovery, identity, permissions, and how ClawSites tools fit multi-agent networks.",https://www.clawsites.com/agent-to-agent-protocol,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / Agent-to-Agent Protocol
• Route a task from one agent to a specialist agent.
• Discover agent capabilities through a directory or registry.
• Coordinate tool access, handoff, and payment in a multi-agent workflow.
• Build marketplaces where agents can expose services to other agents.","
• Route a task from one agent to a specialist agent.
• Discover agent capabilities through a directory or registry.
• Coordinate tool access, handoff, and payment in a multi-agent workflow.
• Build marketplaces where agents can expose services to other agents.
• Publish machine-readable agent profiles or manifests.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Tools Stack | ClawSites,ai-agent-tools-stack,Build an AI agent stack with tools for,"Build an AI agent stack with tools for orchestration, MCP, browser automation, payments, monitoring, docs, and deployment from ClawSites.","Build an AI agent stack with tools for orchestration, MCP, browser automation, payments, monitoring, docs, and deployment from ClawSites.",https://www.clawsites.com/ai-agent-tools-stack,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent Tools Stack
• Plan the minimum architecture for a new agent product.
• Compare whether MCP, browser automation, memory, or observability should come first.
• Audit an existing agent stack for missing safety or monitoring layers.
• Create a buyer shortlist for each layer before implementing.","
• Plan the minimum architecture for a new agent product.
• Compare whether MCP, browser automation, memory, or observability should come first.
• Audit an existing agent stack for missing safety or monitoring layers.
• Create a buyer shortlist for each layer before implementing.
• Turn a service workflow into a repeatable software-backed process.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Directory: Agents & Agentic Tools | ClawSites,ai-agent-directory,"Browse autonomous AI agents, agentic tools, MCP infrastructure,","Browse autonomous AI agents, agentic tools, MCP infrastructure, frameworks, and emerging projects across the agentic web.","Browse autonomous AI agents, agentic tools, MCP infrastructure, frameworks, and emerging projects across the agentic web.",https://www.clawsites.com/ai-agent-directory,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent Directory
• AI Agent Directory
• Open Source Agents
• What is OpenClaw?
• OpenClaw Security",,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent QA Automation Guide | ClawSites,ai-agent-qa-automation,Compare AI agent QA automation tools for browser,"Compare AI agent QA automation tools for browser tests, self-healing checks, screenshots, CI handoffs, and review workflows.","Compare AI agent QA automation tools for browser tests, self-healing checks, screenshots, CI handoffs, and review workflows.",https://www.clawsites.com/ai-agent-qa-automation,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent QA Automation
• Summarize CI failures for engineers.
• Generate draft Playwright or Puppeteer tests.
• Triage flaky browser automation failures.
• Capture screenshots and traces for regression review.","
• Summarize CI failures for engineers.
• Generate draft Playwright or Puppeteer tests.
• Triage flaky browser automation failures.
• Capture screenshots and traces for regression review.
• Propose code fixes from logs and test output.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
"AI Agents: What They Are, Examples & Tools | ClawSites",ai-agents,"Learn what AI agents are, how agentic AI","Learn what AI agents are, how agentic AI systems plan and use tools, compare real use cases, and discover agents, frameworks, and infrastructure.","Learn what AI agents are, how agentic AI systems plan and use tools, compare real use cases, and discover agents, frameworks, and infrastructure.",https://www.clawsites.com/ai-agents,https://www.clawsites.com/opengraph-image,Home,home,Home,"
• The task repeats often and has clear steps.
• The agent can use tools or APIs with limited permissions.
• A human can review the result before a high-impact action.
• The cost of supervision is lower than doing the work manually.
• The workflow has logs that explain what the agent did.",,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Launch Strategy | ClawSites,ai-agent-launch-strategy,"Plan an AI agent launch with positioning, Product","Plan an AI agent launch with positioning, Product Hunt, directories, community proof, MCP distribution, and post-launch retention.","Plan an AI agent launch with positioning, Product Hunt, directories, community proof, MCP distribution, and post-launch retention.",https://www.clawsites.com/ai-agent-launch-strategy,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Agent Launch
• Launch a browser automation agent.
• Launch an MCP server or tool registry.
• Launch an OpenClaw integration.
• Prepare a Product Hunt campaign.","
• Launch a browser automation agent.
• Launch an MCP server or tool registry.
• Launch an OpenClaw integration.
• Prepare a Product Hunt campaign.
• Create directory and community proof before a public launch.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Browser API Guide | ClawSites,ai-browser-api,"Compare AI browser APIs for agents by sessions,","Compare AI browser APIs for agents by sessions, state, screenshots, extraction, pricing, scale, and safe web actions.","Compare AI browser APIs for agents by sessions, state, screenshots, extraction, pricing, scale, and safe web actions.",https://www.clawsites.com/ai-browser-api,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Browser API
• Automate authenticated portals without stable APIs.
• Extract structured data from dynamic websites.
• Run visual QA checks with screenshots.
• Build browser workflows for sales, support, or operations.","
• Automate authenticated portals without stable APIs.
• Extract structured data from dynamic websites.
• Run visual QA checks with screenshots.
• Build browser workflows for sales, support, or operations.
• Compare local browser control against cloud browser infrastructure.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
"AI Coding Agents: IDEs, CLIs & Tools | ClawSites",ai-coding-agents,"Compare AI coding agents for terminals, IDEs, code","Compare AI coding agents for terminals, IDEs, code review, repository work, and autonomous development workflows in ClawSites.","Compare AI coding agents for terminals, IDEs, code review, repository work, and autonomous development workflows in ClawSites.",https://www.clawsites.com/ai-coding-agents,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Coding Agents
• Fix bugs with a clear reproduction and local test command.
• Refactor a small area of a codebase under explicit constraints.
• Generate tests around existing behavior before making changes.
• Explain unfamiliar repositories and map likely files to inspect.","
• Fix bugs with a clear reproduction and local test command.
• Refactor a small area of a codebase under explicit constraints.
• Generate tests around existing behavior before making changes.
• Explain unfamiliar repositories and map likely files to inspect.
• Draft pull requests for routine UI, API, or documentation work.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agents for Business: Workflow Adoption Guide | ClawSites,ai-agents-for-business,"Compare AI agents for business by workflow fit,","Compare AI agents for business by workflow fit, permissions, integrations, logs, cost, accountability, and safe rollout criteria.","Compare AI agents for business by workflow fit, permissions, integrations, logs, cost, accountability, and safe rollout criteria.",https://www.clawsites.com/ai-agents-for-business,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• Shortlist agents for recurring research, monitoring, and reporting.
• Compare browser agents for QA, web checks, and competitive intelligence.
• Use messaging agents for approvals, status updates, and lightweight operations.
• Evaluate local or open-source agents before exposing private context.
• Connect observability tools when agents affect customer-facing workflows.","
• Shortlist agents for recurring research, monitoring, and reporting.
• Compare browser agents for QA, web checks, and competitive intelligence.
• Use messaging agents for approvals, status updates, and lightweight operations.
• Evaluate local or open-source agents before exposing private context.
• Connect observability tools when agents affect customer-facing workflows.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Crawler Robots.txt Guide | ClawSites,ai-crawler-robots-txt,"Plan AI crawler robots.txt rules for Google, OpenAI","Plan AI crawler robots.txt rules for Google, OpenAI crawlers, ChatGPT Search, GPTBot, AI agents, indexing, and content access.","Plan AI crawler robots.txt rules for Google, OpenAI crawlers, ChatGPT Search, GPTBot, AI agents, indexing, and content access.",https://www.clawsites.com/ai-crawler-robots-txt,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• / AI Crawler Robots.txt
• Decide whether to allow OpenAI search crawlers.
• Separate GPTBot policy from search-indexing policy.
• Audit a robots.txt file before a content expansion.
• Keep staging, admin, and duplicate routes blocked.","
• Decide whether to allow OpenAI search crawlers.
• Separate GPTBot policy from search-indexing policy.
• Audit a robots.txt file before a content expansion.
• Keep staging, admin, and duplicate routes blocked.
• Prepare public reference pages for AI search discovery.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI SDR Agents Guide | ClawSites,ai-sdr-agents,"Compare AI SDR agents for prospect research, CRM","Compare AI SDR agents for prospect research, CRM updates, outbound drafts, enrichment, approvals, deliverability, and sales workflows.","Compare AI SDR agents for prospect research, CRM updates, outbound drafts, enrichment, approvals, deliverability, and sales workflows.",https://www.clawsites.com/ai-sdr-agents,https://www.clawsites.com/opengraph-image,/AI Agents,ai-agents,/AI Agents,"
• Research accounts before founder-led sales.
• Draft personalized outbound emails for review.
• Prepare CRM notes after discovery calls.
• Enrich leads from public pages and directories.
• Route high-fit accounts to a salesperson.","
• Research accounts before founder-led sales.
• Draft personalized outbound emails for review.
• Prepare CRM notes after discovery calls.
• Enrich leads from public pages and directories.
• Route high-fit accounts to a salesperson.",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AI Agent Alternatives & OpenClaw Comparisons,alternatives,"Compare AI agent frameworks, runtimes, browser tools, MCP","Compare AI agent frameworks, runtimes, browser tools, MCP access, and OpenClaw alternatives across real workflow and permission boundaries.","Compare AI agent frameworks, runtimes, browser tools, MCP access, and OpenClaw alternatives across real workflow and permission boundaries.",https://www.clawsites.com/alternatives,https://www.clawsites.com/opengraph-image,Home,home,Home,"
• Compare OpenClaw against autonomous-loop tools before adopting an agent runtime.
• Choose between OpenClaw, LangChain, CrewAI, and custom code for a developer workflow.
• Decide whether browser work belongs in OpenClaw, Playwright, Puppeteer, Selenium, or a hosted browser.
• Compare OpenClaw and Hermes when the user expects a practical agent experience rather than only a framework.
• Route buyers from a broad comparison into security, QA, scraping, support, or sales workflow guides.",,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
